Minimums	Eclipse_#	O-C	O-C_Error
2459396.46845	7198.0	-0.05143	0.00049
2459396.62511	7198.5	-0.05126	0.00056
2459396.78139	7199.0	-0.05146	0.00041
2459396.93795	7199.5	-0.05138	0.00040
2459397.09471	7200.0	-0.05111	0.00045
2459397.25069	7200.5	-0.05161	0.00046
2459397.40748	7201.0	-0.05131	0.00053
2459397.72031	7202.0	-0.05144	0.00065
2459397.87669	7202.5	-0.05156	0.00044
2459398.03311	7203.0	-0.05162	0.00041
2459398.18985	7203.5	-0.05137	0.00047
2459398.34585	7204.0	-0.05185	0.00064
2459398.50293	7204.5	-0.05126	0.00055
2459398.65920	7205.0	-0.05146	0.00056
2459398.81575	7205.5	-0.05140	0.00047
2459398.97213	7206.0	-0.05151	0.00039
2459399.12855	7206.5	-0.05157	0.00052
2459399.28525	7207.0	-0.05136	0.00046
2459399.44179	7207.5	-0.05130	0.00074
2459399.59808	7208.0	-0.05150	0.00044
2459399.75442	7208.5	-0.05164	0.00043
2459399.91106	7209.0	-0.05149	0.00046
2459400.06765	7209.5	-0.05139	0.00046
2459400.22401	7210.0	-0.05151	0.00045
2459400.38030	7210.5	-0.05170	0.00044
2459400.53706	7211.0	-0.05143	0.00041
2459400.69347	7211.5	-0.05151	0.00043
2459400.84987	7212.0	-0.05159	0.00052
2459401.00619	7212.5	-0.05175	0.00057
2459401.16329	7213.0	-0.05113	0.00056
2459401.31929	7213.5	-0.05163	0.00054
2459401.47590	7214.0	-0.05150	0.00039
2459401.63222	7214.5	-0.05167	0.00061
2459401.78909	7215.0	-0.05128	0.00072
2459401.94525	7215.5	-0.05160	0.00045
2459402.10186	7216.0	-0.05147	0.00044
2459402.25809	7216.5	-0.05174	0.00039
2459402.41475	7217.0	-0.05156	0.00042
2459402.57116	7217.5	-0.05164	0.00055
2459402.72764	7218.0	-0.05164	0.00058
2459402.88425	7218.5	-0.05151	0.00042
2459403.04072	7219.0	-0.05153	0.00067
2459403.19725	7219.5	-0.05148	0.00057
2459403.35349	7220.0	-0.05173	0.00061
2459403.51006	7220.5	-0.05164	0.00044
2459403.66670	7221.0	-0.05149	0.00064
2459403.82314	7221.5	-0.05153	0.00041
2459403.97963	7222.0	-0.05153	0.00041
2459404.13614	7222.5	-0.05151	0.00066
2459404.29242	7223.0	-0.05171	0.00041
2459405.38778	7226.5	-0.05174	0.00042
2459405.54429	7227.0	-0.05172	0.00051
2459405.70089	7227.5	-0.05160	0.00049
2459405.85722	7228.0	-0.05176	0.00046
2459406.01369	7228.5	-0.05177	0.00048
2459406.17017	7229.0	-0.05178	0.00075
2459406.32691	7229.5	-0.05153	0.00047
2459406.48324	7230.0	-0.05168	0.00054
2459406.63974	7230.5	-0.05166	0.00040
2459406.79625	7231.0	-0.05164	0.00062
2459406.95276	7231.5	-0.05161	0.00050
2459407.10921	7232.0	-0.05165	0.00042
2459407.26596	7232.5	-0.05138	0.00065
2459407.42182	7233.0	-0.05201	0.00046
2459407.57851	7233.5	-0.05180	0.00049
2459407.73482	7234.0	-0.05198	0.00045
2459407.89175	7234.5	-0.05153	0.00063
2459408.04788	7235.0	-0.05189	0.00039
2459408.20486	7235.5	-0.05139	0.00053
2459408.36098	7236.0	-0.05176	0.00064
2459408.51787	7236.5	-0.05135	0.00083
2459408.67385	7237.0	-0.05186	0.00058
2459408.83092	7237.5	-0.05128	0.00059
2459408.98669	7238.0	-0.05199	0.00039
2459409.14392	7238.5	-0.05125	0.00048
2459409.29975	7239.0	-0.05190	0.00047
2459409.45658	7239.5	-0.05155	0.00075
2459409.61265	7240.0	-0.05197	0.00046
2459409.76952	7240.5	-0.05159	0.00051
2459409.92566	7241.0	-0.05192	0.00050
2459410.08261	7241.5	-0.05146	0.00058
2459410.23875	7242.0	-0.05180	0.00041
2459410.39543	7242.5	-0.05161	0.00045
2459410.55172	7243.0	-0.05181	0.00055
2459410.70833	7243.5	-0.05168	0.00049
2459410.86465	7244.0	-0.05185	0.00046
2459411.02137	7244.5	-0.05161	0.00042
2459411.17747	7245.0	-0.05200	0.00057
2459411.33437	7245.5	-0.05158	0.00042
2459411.49077	7246.0	-0.05167	0.00092
2459411.64725	7246.5	-0.05167	0.00050
2459411.80335	7247.0	-0.05206	0.00055
2459411.96030	7247.5	-0.05160	0.00042
2459412.11730	7248.0	-0.05107	0.00058
